account,amount
GAY2ONYLH5SIEIZLSS3TGU7HLUAGBBDRGE4JTUADE5NKB6P42JJA7HDU,1000
GASAHU222CSJZ5L5LRXB62UCYB7NPMV6P4HTYRCVLLEYOXA5GY5YCUER,1000
GD4CGXUSI2QYP3ZVL6ANNYQNUG47QGNX74ZAQSHHRBRZXAHTWQMNMOUK,1000
GCRCRYPRSVFMLJDKLREO6GOBTCERKDIYWZMPIKSHTC4XZIQTSXV3TRNE,1000
GBHDWYNA3FZ6EUUHFAH55D3QMLHNBSHOYWE44UKQ2E4IK2RGL5WLTBUY,1000
GDFHSD2GYT7HTJFWYFCEGSJOLHZHM6ALT2CK7VFWYBDE3C4QQYTAL7IC,1000
GDBWWO2SHWZYIDTT2B6KF3KZLG3OM43CHQKDVGILUFCDFQWW2QAYEXP5,1000
GAJXPJNPV6YZQ65SPJJEYHHNORYFZVYLPGQUBAZ7HHIIV7DQEJQQNSOM,1000
GAUQMDKVRG4FFZRIKHMOXJ2UIUVRFK27UQ6H3KEATNTPQ2H3RTH25LY7,1000
GAU3SRAD3HENLAZOGS4TJSBAJYP4SEXEDNKP63BLS43LCHZJNIN4NUIS,1000
GCBAAGTAULNT2VSCMLQKWYGNPN2JF6A57PQY5HWXFQIYPXG42TNH34NR,1000
GBXYXDFBCPNJBKXJIM3BVUYS4MYCR2QTNXQX5JXZCPBYKWB27NMAYKIR,1000
GAYLD7Y2H6QXM5ZKGV26TQPEZKXOD7LT72PINXXWBRLB25I3S7F6HZJI,1000
GD3NZHUR23ZXCMJ7SLHAHMADQ7QLKOOF7XDPGMZRG4YI5BGFBCGY5B2C,1000
GCWEJSPZ7VORTHVOXVLCAR3SVLC3UJZDFVOLD2RMYW6X6EQAOXCB6ALN,1000
GDC4RG6AOJDQVX24Z73TBFBXSSQODJ64FSM63BQ6BOXDQI7VGUAD3TEO,1000
GDR52E5E4SOYZ6P5753EX34L7SW5JHTAM5T3CHD6QQSDGIZUQLDK2H43,1000
GASW2YJDCM77L5ROKU5PAYWIZTBTP44AFX3T4BZJ2JKWNVNRRQDVYS5G,1000
GC7TOMKRL25MTQJL36BXBOCR54N5I62EJDCAFZW4MR7FRG7J6G5BVRAX,1000
GACVWDM7DEUQDOKAHZGI75BSAFHZ44K72L2Y5I6EKFEEMBDJ2VYG27CA,1000
GCNRSPRDZ5GPEGBIQH4CRKAHLEPOEDBCVKZGQHKYQ26T5Z6TLRUOOKLX,1000
